Evidence class,Evidence status,Record,Value or SHA-256,Numerator,Denominator / n,Claim use
annotation_study_reliability,available_complete,Evidence manifest file,selfauditbench-gold.annotation_evidence.json,unavailable,unavailable,provenance_only
annotation_study_reliability,available_complete,Evidence manifest SHA-256,be4862c7ef9eff816ae02a18cd8bdbb90a69c925ac54800393ab387d08d3d2cc,unavailable,unavailable,provenance_only
annotation_study_reliability,available_complete,Shared label-evidence SHA-256,03a0615deb1535764ab6dd02f428ac697857d3e3cb53d213d8f5d246fb6dbb64,unavailable,unavailable,provenance_only
annotation_study_reliability,available_complete,Study scenarios,96,unavailable,unavailable,study_accounting
annotation_study_reliability,available_complete,Attack-control pairs,48,unavailable,unavailable,study_accounting
annotation_study_reliability,available_complete,Surface counts,"{""asb"":48,""converse"":48}",unavailable,unavailable,study_accounting
annotation_study_reliability,available_complete,Completed independently by both annotators,96,unavailable,96,study_accounting
annotation_study_reliability,available_complete,Exact full-label agreement,0.00%,0,96,manuscript_annotation_reliability
annotation_study_reliability,available_complete,Risk-label agreement,77.08%,74,96,manuscript_annotation_reliability
annotation_study_reliability,available_complete,Risk-label Cohen kappa,0.5616,unavailable,96,manuscript_annotation_reliability
annotation_study_reliability,available_complete,First-risk-event exact agreement,87.88%,29,33,manuscript_annotation_reliability
annotation_study_reliability,available_complete,Harm-boundary exact agreement,93.94%,31,33,manuscript_annotation_reliability
annotation_study_reliability,available_complete,Accepted-intervention Jaccard,0.9100,unavailable,33,manuscript_annotation_reliability
annotation_study_reliability,available_complete,Minimal-delta exact agreement,87.88%,29,33,manuscript_annotation_reliability
annotation_study_reliability,available_complete,Unresolved adjudications,0,unavailable,96,must_be_zero_for_final_gold
annotation_study_reliability,available_complete,Adjudication changes from annotator A,94,unavailable,96,study_accounting
annotation_study_reliability,available_complete,Adjudication changes from annotator B,14,unavailable,96,study_accounting
annotation_study_reliability,available_complete,Artifact SHA-256: adjudication,1643ce83ef53bbc8aa0a3b54df826d6fc7a53cab02c2a5ee669afb47a6465750,unavailable,unavailable,provenance_only
annotation_study_reliability,available_complete,Artifact SHA-256: annotation_carry_forward,906b64720abd01d6734b070bab372aa52c61241abb93515f4f6da50017846d85,unavailable,unavailable,provenance_only
annotation_study_reliability,available_complete,Artifact SHA-256: annotation_protocol,612849e86d50e5dde4f4ae730c64073daee2dd9b75fb177ce391564e029b0307,unavailable,unavailable,provenance_only
annotation_study_reliability,available_complete,Artifact SHA-256: annotator_a,7b244b50f6955e08ba7f773d76c27d2b6e91a432fc887c8cafb4a24907effde1,unavailable,unavailable,provenance_only
annotation_study_reliability,available_complete,Artifact SHA-256: annotator_b,4c06523a7ad967d6aba53d7d3759da9e31405e55a760b77549b2ed3d513b419f,unavailable,unavailable,provenance_only
annotation_study_reliability,available_complete,Artifact SHA-256: final_dataset,1c2f5b952d8b347d40205649fdc238b9555ffe030c087b66335afd9ee24068e3,unavailable,unavailable,provenance_only
annotation_study_reliability,available_complete,Artifact SHA-256: packet_scenarios,890c2a268c2865528e946284fe7e22b347b190205aec3420743f6e8faf36e8d4,unavailable,unavailable,provenance_only
annotation_study_reliability,available_complete,Artifact SHA-256: packet_summary,589dea66f3d2414ac3e4ac990c5be56c424354cc769914e5a91f54cd159601a4,unavailable,unavailable,provenance_only
annotation_study_reliability,available_complete,Artifact SHA-256: private_mapping,57634d4cde6f15ff16ef357a58e38920e083edb2d49ce6131df1bb1d5b067cec,unavailable,unavailable,provenance_only
